Id,Name,Price,StockAvailable
354,Product_354,682.69,330
355,Product_355,89.39,480
356,Product_356,800.25,683
357,Product_357,701.17,700
358,Product_358,881.04,541
359,Product_359,852.02,114
360,Product_360,711.9,166
361,Product_361,475.23,875
362,Product_362,733.2,463
363,Product_363,722.43,870
364,Product_364,889.07,524
365,Product_365,631.83,252
366,Product_366,912.99,378
367,Product_367,174.08,675
368,Product_368,196.73,383
369,Product_369,830.05,903
370,Product_370,752.66,675
371,Product_371,449.39,226
372,Product_372,132.57,995
373,Product_373,437.85,629
374,Product_374,622.69,779
375,Product_375,694.93,645
376,Product_376,450.1,906
377,Product_377,618.8,176
378,Product_378,504.66,473
379,Product_379,445.9,639
380,Product_380,743.19,807
381,Product_381,319.85,590
382,Product_382,756.5,856
383,Product_383,789.79,410
384,Product_384,516.26,855
385,Product_385,57.13,772
386,Product_386,907.35,192
387,Product_387,592.74,871
388,Product_388,614.19,832
389,Product_389,308.68,190
390,Product_390,854.01,569
391,Product_391,147.97,377
392,Product_392,657.04,222
393,Product_393,503.58,401
394,Product_394,793.76,61
395,Product_395,32.46,349
396,Product_396,721.67,717
397,Product_397,638.01,252
398,Product_398,832.29,585
399,Product_399,644.31,855
400,Product_400,481.92,785
401,Product_401,893.74,411
402,Product_402,246.99,152
403,Product_403,995.04,327
404,Product_404,301.18,255
405,Product_405,673.95,90
406,Product_406,60.05,136
407,Product_407,118.45,411
408,Product_408,186.04,945
409,Product_409,55.37,289
410,Product_410,189.51,616
411,Product_411,929.86,855
412,Product_412,68.05,708
413,Product_413,649.74,808
414,Product_414,288.92,843
415,Product_415,59.57,749
416,Product_416,944.73,327
417,Product_417,45.06,110
418,Product_418,751.55,497
419,Product_419,862.96,357
420,Product_420,625.38,929
421,Product_421,887.66,578
422,Product_422,969.55,298
423,Product_423,239.49,527
424,Product_424,307.16,204
425,Product_425,808.9,899
426,Product_426,580.17,227
427,Product_427,207.14,318
428,Product_428,618.87,982
429,Product_429,783.72,980
430,Product_430,562.45,975
431,Product_431,655.34,378
432,Product_432,881.21,318
433,Product_433,35.3,941
434,Product_434,440.19,8
435,Product_435,852.57,375
436,Product_436,885.67,62
437,Product_437,958.13,107
438,Product_438,181.61,254
439,Product_439,813.06,863
440,Product_440,774.78,264
441,Product_441,700.71,174
442,Product_442,706.61,912
443,Product_443,231.83,985
444,Product_444,312.37,794
445,Product_445,141.4,419
446,Product_446,179.85,521
447,Product_447,283.62,77
448,Product_448,679.49,686
449,Product_449,461.77,613
450,Product_450,80.53,412
451,Product_451,458.2,925
452,Product_452,340.73,731
453,Product_453,234.07,214
454,Product_454,130.91,994
455,Product_455,191.57,69
456,Product_456,221.8,86
457,Product_457,848.13,902
458,Product_458,624.16,997
459,Product_459,512.66,67
460,Product_460,630.01,138
461,Product_461,651.92,19
462,Product_462,818.57,946
463,Product_463,42.19,390
464,Product_464,96.72,230
465,Product_465,390.9,167
466,Product_466,969.08,839
467,Product_467,434.73,748
468,Product_468,929.85,337
469,Product_469,547.1,386
470,Product_470,434.73,377
471,Product_471,254.74,147
472,Product_472,257.66,744
473,Product_473,31.94,353
474,Product_474,905.28,110
475,Product_475,907.22,885
476,Product_476,434.82,564
477,Product_477,402.3,383
478,Product_478,859.42,433
479,Product_479,94.05,691
480,Product_480,229.98,135
481,Product_481,649.99,609
482,Product_482,144.6,367
483,Product_483,402.72,897
484,Product_484,555.13,284
485,Product_485,323.29,272
486,Product_486,865.13,989
487,Product_487,990.69,936
488,Product_488,373.61,645
489,Product_489,280.32,720
490,Product_490,327.58,285
491,Product_491,564.4,236
492,Product_492,837.54,323
493,Product_493,240.47,654
494,Product_494,513.82,164
495,Product_495,156.01,769
496,Product_496,927.04,715
497,Product_497,207.17,191
498,Product_498,124.29,201
499,Product_499,473.75,310
500,Product_500,794.23,721
501,Product_501,913.46,753
502,Product_502,176.71,821
503,Product_503,395.52,80
504,Product_504,423.9,886
505,Product_505,916.71,583
506,Product_506,105.11,0
507,Product_507,807.37,134
508,Product_508,959.96,36
509,Product_509,822.97,72
510,Product_510,510.53,185
511,Product_511,194.45,753
512,Product_512,981.3,843
513,Product_513,155.06,857
514,Product_514,94.32,750
515,Product_515,234.9,158
516,Product_516,907.28,125
517,Product_517,469.04,478
518,Product_518,451.37,844
519,Product_519,689.07,213
520,Product_520,290.92,135
521,Product_521,214.57,675
522,Product_522,339.22,322
523,Product_523,511.41,349
524,Product_524,129.31,579
525,Product_525,833.47,594
526,Product_526,840.43,282
527,Product_527,248.12,762
528,Product_528,585.18,543
529,Product_529,194.24,381
530,Product_530,587.6,656
531,Product_531,564.74,355
532,Product_532,214.56,167
533,Product_533,661.93,593
534,Product_534,672.88,334
535,Product_535,642.05,383
536,Product_536,701.91,17
537,Product_537,195.87,257
538,Product_538,537.07,274
539,Product_539,708.3,378
540,Product_540,659.96,794
541,Product_541,250.12,30
542,Product_542,335.05,919
543,Product_543,841.73,265
544,Product_544,923.53,94
545,Product_545,734.39,789
546,Product_546,56.23,963
547,Product_547,940.53,543
548,Product_548,30.24,475
549,Product_549,502.71,426
550,Product_550,82.3,355
551,Product_551,666.41,914
552,Product_552,322.53,832
553,Product_553,459.44,529
554,Product_554,925.89,745
555,Product_555,225.95,16
556,Product_556,958.76,400
557,Product_557,288.5,104
558,Product_558,125.01,945
559,Product_559,217.93,732
560,Product_560,965.64,182
561,Product_561,410.97,32
562,Product_562,330.32,572
563,Product_563,521.2,158
564,Product_564,103.36,488
565,Product_565,140.59,731
566,Product_566,721.67,971
567,Product_567,874.49,288
568,Product_568,438.15,643
569,Product_569,241.22,321
570,Product_570,211.63,920
571,Product_571,10.89,184
572,Product_572,369.31,532
573,Product_573,627.15,296
574,Product_574,62.93,72
575,Product_575,315.38,218
576,Product_576,777.96,12
577,Product_577,927.98,942
578,Product_578,229.48,435
579,Product_579,774.9,492
580,Product_580,903.4,1
581,Product_581,903.26,669
582,Product_582,840.83,448
583,Product_583,938.57,293
584,Product_584,970.3,707
585,Product_585,743.65,887
586,Product_586,129.37,958
587,Product_587,718.97,738
588,Product_588,184.87,440
589,Product_589,884.6,24
590,Product_590,936.55,31
591,Product_591,496,801
592,Product_592,687.62,969
593,Product_593,805.23,176
594,Product_594,245.59,755
595,Product_595,819.01,969
596,Product_596,124.16,474
597,Product_597,240.47,607
598,Product_598,574.91,200
599,Product_599,682.52,16
600,Product_600,74.03,13
601,Product_601,75.67,52
602,Product_602,378.37,489
603,Product_603,896.13,580
604,Product_604,697.67,909
605,Product_605,204.91,911
606,Product_606,83.59,691
607,Product_607,206.81,402
608,Product_608,757.68,479
609,Product_609,199.63,537
610,Product_610,533.41,595
611,Product_611,342.73,615
612,Product_612,214.92,907
613,Product_613,178.81,951
614,Product_614,303.09,452
615,Product_615,314.7,66
616,Product_616,651.84,346
617,Product_617,640.81,560
618,Product_618,106.09,51
619,Product_619,929.91,985
620,Product_620,300.06,156
621,Product_621,670.33,110
622,Product_622,433.74,414
623,Product_623,378.35,81
624,Product_624,750.08,4
625,Product_625,183.43,875
626,Product_626,279.74,454
627,Product_627,526.7,200
628,Product_628,485.44,80
629,Product_629,529.07,886
630,Product_630,509.02,928
631,Product_631,413.69,474
632,Product_632,58.84,186
633,Product_633,573.58,4
634,Product_634,943.7,960
635,Product_635,142.13,114
636,Product_636,728.66,427
637,Product_637,278.74,100
638,Product_638,97.54,913
639,Product_639,616.23,360
640,Product_640,896.75,801
641,Product_641,196.84,325
642,Product_642,763.28,601
643,Product_643,300.86,214
644,Product_644,314.86,411
645,Product_645,77.93,229
646,Product_646,622.77,330
647,Product_647,470.88,474
648,Product_648,379.38,339
649,Product_649,985.68,311
650,Product_650,264.84,67
651,Product_651,497.19,767
652,Product_652,616.99,389
653,Product_653,187.34,632
654,Product_654,328.4,69
655,Product_655,168.38,69
656,Product_656,199.88,718
657,Product_657,451.99,178
658,Product_658,320.67,116
659,Product_659,842.4,702
660,Product_660,827.02,815
661,Product_661,535.85,199
662,Product_662,199.01,553
663,Product_663,650.01,640
664,Product_664,297.57,446
665,Product_665,839.85,20
666,Product_666,578.11,634
667,Product_667,701.8,590
668,Product_668,812,640
669,Product_669,477.79,54
670,Product_670,285.66,100
671,Product_671,448.98,552
672,Product_672,59.38,546
673,Product_673,685.63,500
674,Product_674,150.59,107
675,Product_675,538.34,959
676,Product_676,425.67,548
677,Product_677,577.14,435
678,Product_678,228.5,78
679,Product_679,376.03,655
680,Product_680,332.39,848
681,Product_681,148.08,372
682,Product_682,960.94,899
683,Product_683,589.01,190
684,Product_684,186.93,853
685,Product_685,150.69,339
686,Product_686,901.86,284
687,Product_687,923.89,71
688,Product_688,558.25,764
689,Product_689,981.84,587
690,Product_690,10.4,28
691,Product_691,815.26,405
692,Product_692,80.38,248
693,Product_693,728.2,30
694,Product_694,171.89,888
695,Product_695,969.04,573
696,Product_696,335.07,726
697,Product_697,331.67,230
698,Product_698,953.85,316
699,Product_699,729.88,339
700,Product_700,368.14,905
701,Product_701,742.99,514
702,Product_702,643.32,788
703,Product_703,228.05,685
704,Product_704,980.31,645
705,Product_705,262.14,409
706,Product_706,179.21,194
707,Product_707,383.41,221
708,Product_708,21.77,880
709,Product_709,250.16,241
710,Product_710,721.76,792
711,Product_711,492.52,961
712,Product_712,572.92,175
713,Product_713,743.23,90
714,Product_714,660.43,14
715,Product_715,697.03,519
716,Product_716,706.41,971
717,Product_717,22.49,73
718,Product_718,98.47,929
719,Product_719,462.27,477
720,Product_720,856.44,648
721,Product_721,148.2,703
722,Product_722,13.95,271
723,Product_723,364.76,257
724,Product_724,826.83,492
725,Product_725,323.4,808
726,Product_726,413.44,94
727,Product_727,687.81,431
728,Product_728,517.7,110
729,Product_729,803.79,496
730,Product_730,699.99,57
731,Product_731,281.5,919
732,Product_732,332.97,797
733,Product_733,733.45,364
734,Product_734,455.28,489
735,Product_735,931.33,94
736,Product_736,357.84,935
737,Product_737,125.01,695
738,Product_738,284.25,871
739,Product_739,416.33,772
740,Product_740,793.54,62
741,Product_741,47.17,616
742,Product_742,680.3,513
743,Product_743,817.82,90
744,Product_744,78.53,85
745,Product_745,687.43,249
746,Product_746,103.99,72
747,Product_747,615.91,167
748,Product_748,992.06,978
749,Product_749,271.92,1
750,Product_750,901.97,934
751,Product_751,157.06,511
752,Product_752,378.87,467
753,Product_753,490.65,460
754,Product_754,525.61,741
755,Product_755,174.32,322
756,Product_756,857.91,397
757,Product_757,294.47,878
758,Product_758,600.11,685
759,Product_759,35.3,226
760,Product_760,681.49,964
761,Product_761,986.22,376
762,Product_762,397.87,380
763,Product_763,558.03,63
764,Product_764,691.31,1
765,Product_765,540.07,590
766,Product_766,216.18,733
767,Product_767,144.61,688
768,Product_768,474.01,301
769,Product_769,449.03,14
770,Product_770,774.24,839
771,Product_771,603.95,282
772,Product_772,317.54,923
773,Product_773,768.73,301
774,Product_774,35.9,685
775,Product_775,127.02,660
776,Product_776,635.85,131
777,Product_777,201.04,834
778,Product_778,43.74,142
779,Product_779,544.84,46
780,Product_780,14.64,827
781,Product_781,572.42,591
782,Product_782,100.49,836
783,Product_783,208.88,346
784,Product_784,979.01,874
785,Product_785,789.66,170
786,Product_786,226.37,420
787,Product_787,803.24,347
788,Product_788,733.67,1000
789,Product_789,195.8,102
790,Product_790,400.57,184
791,Product_791,412.17,814
792,Product_792,313.86,130
793,Product_793,961.68,553
794,Product_794,736.87,872
795,Product_795,876.45,267
796,Product_796,680.7,3
797,Product_797,815.98,437
798,Product_798,283.62,777
799,Product_799,397.15,544
800,Product_800,382.97,964
801,Product_801,175.47,286
802,Product_802,992.23,71
803,Product_803,579.29,344
804,Product_804,53.31,382
805,Product_805,589.92,780
806,Product_806,948.09,784
807,Product_807,740.91,333
808,Product_808,190.78,371
809,Product_809,766.34,848
810,Product_810,974.51,288
811,Product_811,88.39,587
812,Product_812,19.09,365
813,Product_813,677.15,806
814,Product_814,287.93,644
815,Product_815,926.13,680
816,Product_816,468.16,13
817,Product_817,265.51,561
818,Product_818,374.73,948
819,Product_819,870.9,721
820,Product_820,71.02,999
821,Product_821,759.06,453
822,Product_822,266.88,811
823,Product_823,354.27,798
824,Product_824,917.87,888
825,Product_825,561.77,230
826,Product_826,452.94,859
827,Product_827,86.79,733
828,Product_828,901.44,988
829,Product_829,837.06,291
830,Product_830,401,33
831,Product_831,340.84,190
832,Product_832,378.22,38
833,Product_833,873.25,824
834,Product_834,277.48,547
835,Product_835,440.51,420
836,Product_836,671.79,238
837,Product_837,816.09,463
838,Product_838,379.04,397
839,Product_839,842.17,784
840,Product_840,798.95,452
841,Product_841,325.55,603
842,Product_842,660.7,810
843,Product_843,484.97,194
844,Product_844,540.41,865
845,Product_845,521.17,855
846,Product_846,443.66,499
847,Product_847,660.95,358
848,Product_848,624.55,257
849,Product_849,699.84,62
850,Product_850,704.98,888
851,Product_851,285.94,811
852,Product_852,737.32,131
853,Product_853,95.58,416
854,Product_854,694.74,158
855,Product_855,302.29,135
856,Product_856,236.91,877
857,Product_857,283.26,115
858,Product_858,652.86,438
859,Product_859,336.22,831
860,Product_860,925.21,414
861,Product_861,223.61,453
862,Product_862,284.11,562
863,Product_863,702.69,811
864,Product_864,591.43,830
865,Product_865,89.42,146
866,Product_866,34.36,366
867,Product_867,214.61,106
868,Product_868,464.48,508
869,Product_869,215.56,824
870,Product_870,134.41,936
871,Product_871,526.13,761
872,Product_872,370.08,691
873,Product_873,68.36,695
874,Product_874,900.26,201
875,Product_875,43.29,48
876,Product_876,358.77,497
877,Product_877,530.12,513
878,Product_878,183.53,899
879,Product_879,588.63,802
880,Product_880,112.12,7
881,Product_881,877.86,57
882,Product_882,976.93,348
883,Product_883,370.17,360
884,Product_884,160.34,742
885,Product_885,940.1,214
886,Product_886,709.75,237
887,Product_887,882.5,418
888,Product_888,891.11,455
889,Product_889,137.8,330
890,Product_890,110.92,744
891,Product_891,403.37,204
892,Product_892,881.51,148
893,Product_893,736.62,990
894,Product_894,679.59,240
895,Product_895,874.02,29
896,Product_896,381.07,21
897,Product_897,155.29,562
898,Product_898,76.95,122
899,Product_899,189.65,859
900,Product_900,965.01,753
901,Product_901,484.78,278
902,Product_902,393.84,708
903,Product_903,400.45,528
904,Product_904,66.96,583
905,Product_905,241.83,800
906,Product_906,619.86,576
907,Product_907,293.06,736
908,Product_908,713.85,176
909,Product_909,772.61,779
910,Product_910,682.82,176
911,Product_911,779.77,924
912,Product_912,949.44,445
913,Product_913,232.94,718
914,Product_914,244.97,674
915,Product_915,914.75,704
916,Product_916,469.96,305
917,Product_917,231.73,567
918,Product_918,843.84,394
919,Product_919,866.96,387
920,Product_920,568.92,624
921,Product_921,346.96,450
922,Product_922,719.07,537
923,Product_923,887.9,713
924,Product_924,473.58,651
925,Product_925,269.09,437
926,Product_926,695.87,130
927,Product_927,515.62,974
928,Product_928,361.26,933
929,Product_929,166.93,577
930,Product_930,447.16,196
931,Product_931,693.41,443
932,Product_932,301.22,115
933,Product_933,621.63,145
934,Product_934,744.24,58
935,Product_935,673.56,115
936,Product_936,228.35,750
937,Product_937,629.22,306
938,Product_938,844.51,103
939,Product_939,687.6,527
940,Product_940,828.61,54
941,Product_941,431.16,348
942,Product_942,825.79,438
943,Product_943,619.98,389
944,Product_944,75.4,397
945,Product_945,390.56,658
946,Product_946,81.53,367
947,Product_947,574.83,938
948,Product_948,474.62,669
949,Product_949,949.12,588
950,Product_950,30.97,522
951,Product_951,174.41,481
952,Product_952,658.57,822
953,Product_953,401.23,416
954,Product_954,596.67,381
955,Product_955,683.66,477
956,Product_956,126.27,217
957,Product_957,452.57,793
958,Product_958,734.53,796
959,Product_959,840.23,107
960,Product_960,535.29,678
961,Product_961,404.03,551
962,Product_962,970.27,723
963,Product_963,768.45,404
964,Product_964,707.2,49
965,Product_965,955.48,35
966,Product_966,167.45,732
967,Product_967,27.97,905
968,Product_968,549.98,679
969,Product_969,62.91,810
970,Product_970,951.76,127
971,Product_971,406.31,453
972,Product_972,842.41,301
973,Product_973,42.3,147
974,Product_974,677.29,272
975,Product_975,340.31,793
976,Product_976,195.45,575
977,Product_977,786.89,673
978,Product_978,504.82,910
979,Product_979,378.34,579
980,Product_980,930.15,994
981,Product_981,124.52,811
982,Product_982,427.56,835
983,Product_983,484.84,195
984,Product_984,456.4,151
985,Product_985,588.77,716
986,Product_986,446.62,134
987,Product_987,50.99,587
988,Product_988,328.99,718
989,Product_989,885.84,841
990,Product_990,122.86,675
991,Product_991,646.14,456
992,Product_992,982.74,377
993,Product_993,737.18,416
994,Product_994,172.24,345
995,Product_995,398.65,448
996,Product_996,908.26,514
997,Product_997,343.3,449
998,Product_998,334.25,714
999,Product_999,179.82,826
1000,Product_1000,963.46,32
1001,Product_1001,640.4,878
1002,Product_1002,202.06,530
1003,Product_1003,571.27,181
1004,Product_1004,646.22,658
1005,Product_1005,991.19,736
1006,Product_1006,740.58,369
1007,Product_1007,578.07,733
1008,Product_1008,946.58,252
1009,Product_1009,297.69,127
1010,Product_1010,707.49,412
1011,Product_1011,583.49,871
1012,Product_1012,882.59,995
1013,Product_1013,471.18,641
1014,Product_1014,510.2,1
1015,Product_1015,524.79,159
1016,Product_1016,23.15,255
1017,Product_1017,643.49,341
1018,Product_1018,92.79,332
1019,Product_1019,792.77,761
1020,Product_1020,252.94,879
1021,Product_1021,864.58,194
1022,Product_1022,775.24,772
1023,Product_1023,724.15,467
1024,Product_1024,410.71,711
1025,Product_1025,895.55,377
1026,Product_1026,602.84,465
1027,Product_1027,739.47,426
1028,Product_1028,757.31,148
1029,Product_1029,710.83,204
1030,Product_1030,608.35,171
1031,Product_1031,342.46,739
1032,Product_1032,320.27,411
1033,Product_1033,95.6,480
1034,Product_1034,515.38,63
1035,Product_1035,504.86,632
1036,Product_1036,837.42,205
1037,Product_1037,883.43,945
1038,Product_1038,753.43,55
1039,Product_1039,335.14,71
1040,Product_1040,898.35,660
1041,Product_1041,22.42,270
1042,Product_1042,666.07,989
1043,Product_1043,499.38,496
1044,Product_1044,15.38,660
1045,Product_1045,874.17,643
1046,Product_1046,546.85,865
1047,Product_1047,191.53,360
1048,Product_1048,938.66,878
1049,Product_1049,752.36,592
1050,Product_1050,722.53,392
1051,Product_1051,677.12,20
1052,Product_1052,588.83,891
1053,Product_1053,121.02,183
1054,Product_1054,765.4,761
1055,Product_1055,874.3,269
1056,Product_1056,311.52,389
1057,Product_1057,574.88,342
1058,Product_1058,805.84,234
1059,Product_1059,472.5,20
1060,Product_1060,768.89,114
1061,Product_1061,609.95,936
1062,Product_1062,828.4,21
1063,Product_1063,323.27,113
1064,Product_1064,956.85,594
1065,Product_1065,239.92,178
