Id,CustomerID,ProductQuantities,OrderDate
ORD0037,CUS1718,P0191:21;P0317:30;P0691:8;P0911:3,2024-04-19T17:55:28.847476+07:07
ORD0038,CUS4169,P0656:25;P0965:20,2024-10-09T03:07:40.479738+07:07
ORD0039,CUS4796,P0987:15;P0143:43;P0194:17;P0889:5;P0764:28,2024-07-05T04:57:40.910139+07:07
ORD0040,CUS2547,P0869:40;P0599:20,2024-03-25T10:01:11.501155+07:07
ORD0041,CUS2040,P0550:35;P0962:19;P0943:32;P0096:22;P1000:48,2024-04-19T17:49:35.295060+07:07
ORD0042,CUS2329,P0693:42;P0792:26;P0401:38;P0737:11,2024-02-02T21:56:25.668005+07:07
ORD0043,CUS1200,P0934:25,2024-06-19T10:10:13.996863+07:07
ORD0044,CUS1306,P0537:6;P0025:10,2024-10-30T16:42:14.124215+07:07
ORD0045,CUS3456,P0334:18;P0846:10,2024-09-01T07:54:20.476421+07:07
ORD0046,CUS3005,P0169:31;P0193:18;P0958:47;P0523:43,2024-04-28T14:51:45.597172+07:07
ORD0047,CUS3318,P0127:4;P0641:5;P0318:23;P0802:39,2024-01-13T04:19:23.998433+07:07
ORD0048,CUS1214,P0302:7;P0949:11;P0498:48,2024-12-26T20:47:13.753779+07:07
ORD0049,CUS4023,P0414:44;P0684:15;P0036:43;P0545:41,2024-12-28T11:50:46.074303+07:07
ORD0050,CUS4227,P0531:29;P0811:26,2024-07-09T17:53:23.700856+07:07
ORD0051,CUS3124,P0750:49;P0310:16;P0204:6;P0078:39;P0767:12,2024-08-12T03:30:12.087094+07:07
ORD0052,CUS0166,P0182:27;P0769:22;P0130:11;P0781:42;P0134:37,2024-07-09T18:12:11.931477+07:07
ORD0053,CUS2050,P0300:38;P0338:36,2024-03-28T04:28:52.538335+07:07
ORD0054,CUS3706,P0656:9;P0581:25;P0377:5,2024-03-22T13:22:05.261831+07:07
ORD0055,CUS0555,P0219:22;P0663:16;P0263:28,2024-11-09T23:15:50.228142+07:07
ORD0056,CUS3133,P0521:30;P0425:15,2024-07-15T02:45:48.721308+07:07
ORD0057,CUS1849,P0900:29;P0076:5;P0216:10;P0231:33,2024-11-11T21:09:00.873640+07:07
ORD0058,CUS3265,P0666:31;P0843:39;P0457:24;P0086:45;P0903:20,2024-10-14T09:56:56.164063+07:07
ORD0059,CUS0898,P0085:32;P0430:3,2024-05-14T10:32:34.482032+07:07
ORD0060,CUS0993,P0541:3;P0162:31;P0472:37;P0943:4;P0065:47,2024-04-24T02:20:01.871301+07:07
ORD0061,CUS1829,P0300:23;P0113:12;P0206:39;P0832:30;P0681:45,2024-10-26T23:14:56.777375+07:07
ORD0062,CUS0632,P0334:39,2024-07-10T11:19:33.152001+07:07
ORD0063,CUS1430,P0962:48,2024-05-25T02:19:14.580044+07:07
ORD0064,CUS1056,P0818:7,2024-05-21T15:46:59.886060+07:07
ORD0065,CUS4040,P0681:29;P0017:44;P0136:47;P0093:6;P0284:31,2024-04-26T08:52:12.776437+07:07
ORD0066,CUS0967,P0488:42;P0209:4,2024-01-18T06:29:17.017758+07:07
ORD0067,CUS1060,P0277:29;P0249:20,2024-11-21T22:45:42.717564+07:07
ORD0068,CUS4046,P0079:4,2024-02-12T12:39:06.319341+07:07
ORD0069,CUS2457,P0955:7;P0177:1;P0227:32;P0774:7;P0541:20,2024-05-27T21:45:47.283125+07:07
ORD0070,CUS1765,P0239:2,2024-06-05T20:46:53.191704+07:07
ORD0071,CUS3218,P0258:22;P0519:50,2024-05-07T01:43:28.301091+07:07
ORD0072,CUS2945,P0407:49;P0319:22;P0906:29;P0153:8,2024-03-09T02:01:56.164024+07:07
ORD0073,CUS0989,P0418:15;P0619:20;P0704:46;P0110:5,2024-01-07T17:45:17.577940+07:07
ORD0074,CUS3445,P0298:7;P0401:19;P0963:45,2024-04-01T05:57:56.818478+07:07
ORD0075,CUS0900,P0093:17;P0683:31,2024-04-27T15:05:32.382167+07:07
ORD0076,CUS0281,P0827:16;P0481:48;P0492:31,2024-04-04T05:44:26.837833+07:07
ORD0077,CUS0700,P0985:6;P0457:48,2024-05-30T12:13:13.829842+07:07
ORD0078,CUS1591,P0805:3;P0361:6;P0174:9,2024-04-22T13:40:11.850965+07:07
ORD0079,CUS1686,P0038:42;P0994:47;P0570:37;P0592:38;P0593:31,2024-02-04T01:13:41.093566+07:07
ORD0080,CUS0625,P0349:32;P0470:13;P0131:20;P0283:8,2024-11-10T17:49:26.067709+07:07
ORD0081,CUS1233,P0947:1;P0272:7;P0880:27;P0648:5;P0106:31,2024-02-27T17:57:58.062136+07:07
ORD0082,CUS0636,P0704:16;P0987:26,2024-10-11T10:07:17.026159+07:07
ORD0083,CUS1182,P0702:9;P0754:50,2024-08-23T17:03:26.803783+07:07
ORD0084,CUS1902,P0734:39;P0085:28,2024-04-01T07:45:40.150487+07:07
ORD0085,CUS1449,P0981:50;P0672:18;P0751:45;P0636:8,2024-01-15T14:21:20.918527+07:07
ORD0086,CUS3458,P0228:34;P0056:23;P0299:21;P0383:31,2024-04-24T15:46:22.921796+07:07
ORD0087,CUS3989,P0187:36;P0060:48;P0928:1;P0865:20,2024-03-18T21:11:44.275943+07:07
ORD0088,CUS4843,P0918:44,2024-10-23T22:08:24.291899+07:07
ORD0089,CUS3747,P0064:44;P0363:13;P0242:19;P0052:40,2024-04-03T18:57:31.543515+07:07
ORD0090,CUS3901,P0842:13;P0510:37,2024-08-04T19:43:20.864242+07:07
ORD0091,CUS2443,P0876:1;P0354:9;P0565:32,2024-06-14T13:25:13.381677+07:07
ORD0092,CUS0374,P0945:33;P0107:49,2024-05-28T05:48:17.088335+07:07
ORD0093,CUS0133,P0445:14,2024-07-06T10:26:10.285816+07:07
ORD0094,CUS3926,P0308:24;P0352:36,2024-01-16T01:34:57.624707+07:07
ORD0095,CUS3454,P0655:26;P0848:20;P0977:12;P0029:47;P0678:47,2024-01-10T11:39:15.826115+07:07
ORD0096,CUS0683,P0499:43,2024-08-02T05:32:29.236100+07:07
ORD0097,CUS2972,P0254:13;P0757:28;P0356:30;P0647:6,2024-04-12T09:17:31.803090+07:07
ORD0098,CUS1292,P0873:30;P0703:24;P0159:49;P0781:27;P0518:38,2024-12-07T05:15:07.516972+07:07
ORD0099,CUS0836,P0930:38;P0263:48;P0870:36,2024-12-27T08:11:28.107141+07:07
ORD0100,CUS3808,P0529:25;P0487:24,2024-05-18T18:23:33.479333+07:07
ORD0101,CUS2750,P0678:29;P0334:28,2024-11-05T16:19:58.385190+07:07
ORD0102,CUS2432,P0562:45;P0870:45;P0041:19,2024-01-23T15:06:02.479386+07:07
ORD0103,CUS3462,P0109:32;P0025:1;P0381:46;P0837:28;P0275:8,2024-11-30T01:28:34.081852+07:07
ORD0104,CUS1438,P0324:29;P0520:13;P0146:18,2024-05-01T07:10:17.302011+07:07
ORD0105,CUS4028,P0604:31;P0252:23;P0780:5,2024-07-10T05:02:27.679952+07:07
ORD0106,CUS3533,P0702:41;P0401:46;P0222:30;P0552:35,2024-10-26T17:40:56.316034+07:07
ORD0107,CUS0015,P0723:19;P0247:23;P0170:32;P0445:2,2024-10-22T17:27:51.921096+07:07
ORD0108,CUS0865,P0263:34,2024-08-28T04:46:46.693037+07:07
ORD0109,CUS3578,P0117:13;P0433:35,2024-07-21T10:42:13.935253+07:07
ORD0110,CUS4763,P0892:8,2024-04-25T17:37:15.376043+07:07
ORD0111,CUS1166,P0705:14;P0693:43,2024-02-21T09:07:53.278861+07:07
ORD0112,CUS3826,P0135:37;P0139:28;P0935:15,2024-08-08T03:13:39.404217+07:07
ORD0113,CUS4987,P0402:10;P0293:22;P0464:31;P0994:46;P0691:41,2024-02-14T04:50:19.483144+07:07
ORD0114,CUS3023,P0956:32;P0518:43;P0331:43,2024-07-09T21:16:05.908397+07:07
ORD0115,CUS1975,P0316:49;P0398:18;P0352:43;P0397:1,2024-01-08T23:12:21.958121+07:07
ORD0116,CUS3201,P0268:30,2024-12-25T19:10:51.255178+07:07
ORD0117,CUS3409,P0172:32,2024-06-22T05:26:26.683092+07:07
ORD0118,CUS0338,P0019:17,2024-09-28T07:41:36.391875+07:07
ORD0119,CUS1059,P0613:14;P0831:40;P0121:13;P0386:34;P0241:22,2024-04-17T13:01:33.035372+07:07
ORD0120,CUS3078,P0980:30;P0088:6;P0305:35;P0397:15;P0556:34,2024-09-19T11:32:06.631382+07:07
ORD0121,CUS2707,P0233:17;P0825:35;P0012:8;P0914:18,2024-02-06T01:20:20.953197+07:07
ORD0122,CUS2600,P0449:18;P0444:1;P0291:41;P0180:15,2024-07-08T00:12:01.225332+07:07
ORD0123,CUS2341,P0166:40,2024-10-18T08:30:57.798829+07:07
ORD0124,CUS3009,P0172:11;P0956:16;P0327:15;P0078:19;P0451:11,2024-12-03T18:17:36.308218+07:07
ORD0125,CUS0776,P0934:21;P0211:1;P0758:25;P0068:11,2024-02-12T12:55:16.711841+07:07
ORD0126,CUS3391,P0758:23;P0064:6;P0963:27;P0130:50,2024-05-26T00:35:27.129393+07:07
ORD0127,CUS4367,P0164:47;P0039:23;P0800:39;P0650:42,2024-05-17T20:29:28.561487+07:07
ORD0128,CUS2169,P0067:12;P0746:30;P0511:7;P0605:46,2024-08-23T11:18:43.855116+07:07
ORD0129,CUS2927,P0807:44;P0665:41,2024-01-27T06:38:34.707746+07:07
ORD0130,CUS1512,P1000:9,2024-08-26T16:17:10.598929+07:07
ORD0131,CUS1706,P0277:22,2024-09-18T00:25:14.049766+07:07
ORD0132,CUS3103,P0435:30;P0899:1;P0742:39;P0307:4;P0176:3,2024-02-12T05:13:42.421109+07:07
ORD0133,CUS0390,P0503:25;P0929:38,2024-06-02T13:46:49.267009+07:07
ORD0134,CUS0109,P0361:4,2024-06-29T07:09:05.260174+07:07
ORD0135,CUS4883,P0327:5,2024-10-17T07:03:34.791815+07:07
ORD0136,CUS2992,P0729:2;P0196:43;P0894:46,2024-02-04T01:24:48.175304+07:07
ORD0137,CUS1199,P0586:23;P0120:4;P0477:18,2024-05-16T20:13:32.083250+07:07
ORD0138,CUS2864,P0568:1,2024-04-24T12:46:06.824574+07:07
ORD0139,CUS1654,P0516:22;P0726:27;P0427:45,2024-05-22T07:50:50.580131+07:07
ORD0140,CUS1512,P0413:49,2024-11-24T01:18:07.342173+07:07
ORD0141,CUS3750,P0325:25;P0942:43,2024-11-13T07:45:54.109614+07:07
ORD0142,CUS1364,P0916:1;P0109:20,2024-04-01T12:12:29.247654+07:07
ORD0143,CUS3282,P0512:38;P0204:13,2024-11-16T10:36:02.746630+07:07
ORD0144,CUS3245,P0703:28;P0987:12;P0764:42,2024-12-23T11:18:29.600342+07:07
ORD0145,CUS2977,P0737:28;P0017:27,2024-12-19T06:51:20.357693+07:07
ORD0146,CUS4486,P0533:3;P0833:20;P0276:38,2024-11-10T20:07:19.176141+07:07
ORD0147,CUS0352,P0412:26;P0904:26;P0914:8,2024-03-30T23:25:31.577760+07:07
ORD0148,CUS0077,P0983:19,2024-04-02T13:12:42.058186+07:07
ORD0149,CUS4196,P0495:42;P0646:8;P0143:36;P0012:8,2024-03-22T12:53:55.989142+07:07
ORD0150,CUS1185,P0511:45;P0982:6;P0500:28;P0374:42;P0618:3,2024-05-23T23:52:36.904425+07:07
ORD0151,CUS0387,P0534:12,2024-05-08T02:25:07.815983+07:07
ORD0152,CUS2620,P0605:38;P0978:41;P0778:7;P0688:20,2024-02-27T16:19:51.877958+07:07
ORD0153,CUS3674,P0899:23;P0388:35;P0155:41;P0939:15,2024-02-05T07:35:16.335321+07:07
ORD0154,CUS3864,P0401:29;P0193:28,2024-02-20T11:00:34.186463+07:07
ORD0155,CUS3438,P0458:34;P0476:3;P0004:30;P0740:43,2024-02-27T07:53:42.780043+07:07
ORD0156,CUS1152,P0108:50;P0268:41;P0690:38;P0133:38,2024-05-19T08:10:27.680940+07:07
ORD0157,CUS4552,P0698:7;P0758:24;P0231:10;P0849:45,2024-02-07T07:34:35.698372+07:07
ORD0158,CUS0145,P0121:22;P0655:1,2024-02-16T19:07:16.288953+07:07
ORD0159,CUS3259,P0220:26;P0221:15;P0770:4,2024-05-11T07:21:54.796250+07:07
ORD0160,CUS2602,P0074:1;P0047:7;P0052:14;P0876:28,2024-03-24T04:32:31.354946+07:07
ORD0161,CUS0227,P0685:24;P0053:37;P0855:20;P0209:45;P0795:25,2024-09-06T14:39:37.038917+07:07
ORD0162,CUS1765,P0071:10;P0595:39;P0766:19;P0701:32;P0872:1,2024-06-11T07:32:36.020144+07:07
ORD0163,CUS2766,P0603:1;P0690:11;P0956:16;P0396:17,2024-06-21T05:28:10.098449+07:07
ORD0164,CUS0978,P0882:6,2024-01-01T15:14:12.159911+07:07
ORD0165,CUS1977,P0445:6;P0986:36;P0364:50;P0795:41,2024-05-05T11:34:25.953553+07:07
ORD0166,CUS1243,P0137:35;P0492:50;P0148:15,2024-03-19T00:32:30.874176+07:07
ORD0167,CUS3585,P0076:15;P0080:47;P0524:30;P0754:33,2024-08-17T17:48:30.017594+07:07
ORD0168,CUS0917,P0703:39;P0222:1;P0723:28,2024-08-03T23:05:17.358029+07:07
ORD0169,CUS1627,P0620:7;P0264:28;P0087:35;P0449:1,2024-11-09T00:06:30.555516+07:07
ORD0170,CUS2174,P0420:50;P0694:42,2024-07-28T20:00:21.626741+07:07
ORD0171,CUS3200,P0380:25,2024-02-16T17:01:52.119771+07:07
ORD0172,CUS4962,P0863:23;P0173:50;P0571:10,2024-09-02T13:21:25.383707+07:07
ORD0173,CUS2916,P0024:46,2024-03-31T23:13:05.992050+07:07
ORD0174,CUS4883,P0236:18;P0081:34;P0327:40;P0431:6,2024-12-14T03:55:19.923330+07:07
ORD0175,CUS4100,P0099:42;P0090:35;P0920:27,2024-06-12T01:14:47.979496+07:07
ORD0176,CUS2241,P0315:48;P0960:49;P0404:16;P0537:39;P0918:45,2024-10-12T12:28:39.019341+07:07
ORD0177,CUS1784,P0836:48;P0811:42;P0532:48;P0999:3;P0073:5,2024-03-13T13:26:39.688667+07:07
ORD0178,CUS2307,P0765:48;P0481:18;P0739:50;P0686:13;P0401:28,2024-10-01T12:38:59.645886+07:07
ORD0179,CUS0254,P0946:12,2024-07-20T04:29:39.927209+07:07
ORD0180,CUS3842,P0543:2;P0913:2;P0708:18,2024-04-07T14:06:24.178890+07:07
ORD0181,CUS4134,P0074:4;P0110:17,2024-10-05T07:15:11.290184+07:07
ORD0182,CUS1543,P0579:6,2024-02-03T22:57:43.268268+07:07
ORD0183,CUS0977,P0786:5,2024-11-25T19:31:04.638717+07:07
ORD0184,CUS1944,P0154:18;P0426:26;P0662:4;P0001:27;P0612:21,2024-06-24T15:22:17.137295+07:07
ORD0185,CUS3030,P0064:13;P0261:26;P0079:19;P0852:47;P0746:28,2024-02-23T00:15:47.652336+07:07
ORD0186,CUS0269,P0189:25,2024-03-19T22:11:41.682832+07:07
ORD0187,CUS0027,P0098:6;P0551:16;P0834:12;P0039:19,2024-05-30T01:16:59.975809+07:07
ORD0188,CUS2974,P0494:10,2024-02-12T08:50:41.439338+07:07
ORD0189,CUS1720,P0922:33;P0199:3;P0909:27;P0248:22;P0104:5,2024-10-20T22:19:43.171553+07:07
ORD0190,CUS0967,P0683:28;P0805:43,2024-09-12T20:14:09.312005+07:07
ORD0191,CUS4415,P0869:21;P0300:12;P0370:8,2024-06-01T03:38:09.419023+07:07
ORD0192,CUS1422,P0170:18;P0807:12;P0458:31;P0017:2;P0819:45,2024-04-16T07:38:30.647748+07:07
ORD0193,CUS1226,P0984:45;P0574:31;P0409:40;P0131:6;P0719:16,2024-03-10T23:17:10.858613+07:07
ORD0194,CUS2931,P0894:44;P0458:2;P0782:6;P0489:47;P0535:26,2024-10-21T20:00:03.479304+07:07
ORD0195,CUS2595,P0979:20;P0162:48;P0653:9;P0094:3,2024-11-17T10:53:59.619382+07:07
ORD0196,CUS4680,P0193:31;P0181:48;P0352:46;P0587:27,2024-07-03T09:27:44.237931+07:07
ORD0197,CUS2862,P0055:37;P0142:50;P0005:5;P0512:7,2024-11-12T23:46:45.809994+07:07
ORD0198,CUS4913,P0772:33;P0068:29;P0689:30;P0658:14;P0604:18,2024-09-25T18:22:26.105537+07:07
ORD0199,CUS0911,P0473:15;P0706:38;P0817:26;P0455:30,2024-02-20T02:05:53.263975+07:07
ORD0200,CUS2511,P0434:33,2024-11-04T05:39:13.415860+07:07
ORD0201,CUS0819,P0799:27;P0648:2;P0636:44;P0856:30;P0633:45,2024-11-26T15:09:03.419843+07:07
ORD0202,CUS2658,P0085:15;P0991:3;P0813:12;P0859:26;P0037:48,2024-11-17T09:27:43.457088+07:07
ORD0203,CUS1674,P0099:46;P0820:41;P0691:5;P0739:16;P0436:23,2024-05-21T23:40:53.911805+07:07
ORD0204,CUS1047,P0316:20;P0039:26,2024-05-25T04:03:32.708973+07:07
ORD0205,CUS0032,P0472:14;P0397:5;P0500:21,2024-05-06T11:35:06.738935+07:07
ORD0206,CUS4050,P0862:24;P0372:40;P0547:18,2024-05-02T04:33:05.444524+07:07
ORD0207,CUS4032,P0720:6;P0562:39,2024-06-05T01:20:10.654516+07:07
ORD0208,CUS2352,P0932:2,2024-05-18T05:17:02.694358+07:07
ORD0209,CUS2967,P0340:34;P0573:3;P0692:49;P0907:17,2024-11-07T23:21:33.655258+07:07
ORD0210,CUS4772,P0245:44;P0673:32,2024-01-10T07:27:05.846589+07:07
ORD0211,CUS1860,P0125:47;P0705:12;P0843:19;P0024:40,2024-12-20T08:32:17.116431+07:07
ORD0212,CUS1541,P0342:30;P0738:46;P0357:2;P0561:44,2024-02-24T13:57:44.190048+07:07
ORD0213,CUS0240,P0004:4;P0808:5,2024-04-13T03:31:04.494694+07:07
ORD0214,CUS3658,P0597:40;P0099:28;P0582:48;P0774:9;P0732:9,2024-05-09T18:48:10.447291+07:07
ORD0215,CUS2730,P0648:37;P0694:19,2024-03-20T13:51:06.398623+07:07
ORD0216,CUS3605,P0283:5;P0072:47,2024-11-25T15:52:31.087776+07:07
ORD0217,CUS1090,P0350:47;P0931:8,2024-02-11T19:03:33.559577+07:07
ORD0218,CUS1348,P0889:9,2024-11-20T11:36:20.018097+07:07
ORD0219,CUS2517,P0277:46;P0153:22,2024-11-06T17:16:25.645703+07:07
ORD0220,CUS0428,P0768:50;P0590:35;P0331:25,2024-07-07T23:06:27.991899+07:07
ORD0221,CUS0980,P0809:42,2024-11-06T02:42:06.785752+07:07
ORD0222,CUS1006,P0249:18;P0870:3;P0262:22;P0064:35,2024-12-23T05:41:31.559642+07:07
ORD0223,CUS3607,P0496:29;P0477:23;P0023:16;P0125:6;P0092:5,2024-12-17T03:58:21.739350+07:07
ORD0224,CUS0678,P0143:1;P0355:43;P0866:23;P0288:45;P0559:7,2024-07-20T21:25:58.249501+07:07
ORD0225,CUS4919,P0315:1;P0302:27;P0251:2;P0387:40,2024-04-14T11:41:30.669754+07:07
ORD0226,CUS4276,P0340:26;P0745:48;P0203:9;P0959:15,2024-08-15T15:15:31.469854+07:07
ORD0227,CUS0529,P0898:38;P0406:41;P0026:10;P0366:46;P0933:48,2024-05-23T13:41:14.889324+07:07
ORD0228,CUS1158,P0115:40;P0814:27;P0091:19;P0942:49,2024-12-29T06:05:03.618182+07:07
ORD0229,CUS4559,P0550:7;P0449:6,2024-11-03T16:26:12.656281+07:07
ORD0230,CUS2275,P0196:9,2024-11-05T10:04:11.647836+07:07
ORD0231,CUS2592,P0046:31;P0879:47;P0538:29;P0320:2;P0548:23,2024-09-03T21:58:11.378935+07:07
ORD0232,CUS4256,P0569:47;P0416:46,2024-01-07T12:18:20.892960+07:07
ORD0233,CUS0193,P0024:34;P0598:15;P0891:43;P0583:47;P0382:22,2024-09-05T04:05:16.192104+07:07
ORD0234,CUS3230,P0300:1;P0931:8;P0060:15;P0859:19,2024-01-30T06:15:21.724993+07:07
ORD0235,CUS3815,P0528:35;P0979:37;P0774:4;P0397:25,2024-07-25T12:13:02.220685+07:07
ORD0236,CUS3550,P0784:35;P0305:9;P0039:17;P0886:35,2024-04-05T17:07:57.478307+07:07
ORD0237,CUS1439,P0025:29,2024-06-02T07:13:13.878746+07:07
ORD0238,CUS1717,P0320:38;P0336:42;P0429:11;P0821:29;P0061:16,2024-03-18T19:53:36.083582+07:07
ORD0239,CUS0023,P0586:16;P0402:24,2024-01-05T11:17:38.649395+07:07
ORD0240,CUS0381,P0872:42;P0602:21;P0606:22;P0341:3;P0859:9,2024-07-22T21:11:48.024868+07:07
ORD0241,CUS1618,P0931:22;P0120:31;P0872:38;P0921:48;P0298:18,2024-08-14T10:12:08.320837+07:07
ORD0242,CUS1729,P0487:43;P0557:7,2024-10-19T16:19:45.670582+07:07
ORD0243,CUS3968,P0386:48;P0313:18;P0327:41,2024-07-14T17:04:54.378981+07:07
ORD0244,CUS1668,P0983:10;P0415:18;P0165:12;P0753:35,2024-06-28T07:15:23.213412+07:07
ORD0245,CUS2950,P0579:24;P0556:20;P0435:6;P0275:2,2024-03-16T12:26:46.583485+07:07
ORD0246,CUS0964,P0442:34;P0284:23;P0751:32,2024-08-22T20:27:58.883564+07:07
ORD0247,CUS1996,P0978:16;P0382:2;P0703:3;P0757:29;P0344:9,2024-03-25T05:28:21.355743+07:07
ORD0248,CUS1271,P0836:12;P0391:24;P0974:38,2024-12-06T09:49:57.288077+07:07
ORD0249,CUS1154,P0032:25;P0293:44;P0838:46,2024-03-21T11:44:16.633942+07:07
ORD0250,CUS4338,P0025:32,2024-07-04T21:26:51.709069+07:07
ORD0251,CUS1551,P0595:43;P0275:32;P0478:47,2024-12-27T18:23:14.979815+07:07
ORD0252,CUS0662,P0752:26;P0924:43,2024-08-31T13:14:28.835500+07:07
ORD0253,CUS1213,P0989:41;P0173:19;P0749:31,2024-04-08T01:09:19.304119+07:07
ORD0254,CUS2889,P0976:5;P0455:5;P0858:33,2024-01-29T07:03:22.783645+07:07
ORD0255,CUS0100,P0427:42;P0577:17;P0834:19,2024-04-10T08:48:51.508137+07:07
ORD0256,CUS4631,P0885:37;P0241:40;P0692:30;P0272:32;P0952:19,2024-12-14T18:56:19.085131+07:07
ORD0257,CUS4130,P0434:19;P0548:10,2024-08-30T13:21:40.909821+07:07
ORD0258,CUS3473,P0927:32;P0142:21;P0252:41,2024-11-15T11:36:58.075575+07:07
ORD0259,CUS1379,P0081:45;P0773:10;P0437:27;P0625:25;P0618:39,2024-02-10T21:04:54.804800+07:07
ORD0260,CUS2097,P0960:27;P0212:15;P0929:32;P0093:37,2024-11-03T19:20:07.941189+07:07
ORD0261,CUS3389,P0767:11;P0982:47;P0050:29,2024-11-14T16:39:26.363393+07:07
ORD0262,CUS1785,P0704:1;P0301:8;P0069:15;P0797:49;P0722:30,2024-05-20T21:55:02.258483+07:07
ORD0263,CUS2201,P0168:27;P0221:44;P0792:45,2024-08-18T16:02:45.638375+07:07
ORD0264,CUS3393,P0521:29;P0057:42;P0277:40;P0846:5;P0938:46,2024-09-02T21:06:47.837445+07:07
ORD0265,CUS2260,P0430:6;P0392:8;P0865:44;P0832:14;P0950:16,2024-03-13T19:44:15.311887+07:07
ORD0266,CUS0401,P0810:37,2024-10-14T18:50:43.534108+07:07
ORD0267,CUS2204,P0368:29;P0382:4;P0209:39,2024-10-16T21:44:17.595200+07:07
ORD0268,CUS3843,P0928:22;P0367:23;P0983:16;P0216:25;P0069:47,2024-06-18T17:35:22.668690+07:07
ORD0269,CUS2973,P0317:42;P0621:21,2024-01-18T09:47:32.189359+07:07
ORD0270,CUS2669,P0214:4;P0953:48;P0177:5;P0533:7,2024-11-10T22:06:17.405769+07:07
ORD0271,CUS2508,P0098:8;P0606:27;P0683:48;P0865:50;P0360:23,2024-10-04T01:44:25.561173+07:07
ORD0272,CUS4030,P0215:12;P0723:39;P0264:43;P0724:18,2024-06-08T11:06:26.126677+07:07
ORD0273,CUS4669,P0136:15;P0889:43;P0180:11,2024-02-22T14:07:29.391146+07:07
ORD0274,CUS1677,P0657:33;P0458:28;P0832:19;P0129:25,2024-11-09T18:08:45.490385+07:07
